Symbol,Name,Price,% Change,Market Cap,Volume,Circulating Supply
LOVELY-USD,Lovely Finance,0.030153,"+40,490,325.00%",2.103T,299391,69.747T
BTC-USD,Bitcoin,61918.16,-1.59%,1.221T,20.31B,19.719M
ETH-USD,Ethereum,3415.55,-0.55%,410.52B,9.513B,120.191M
USDT-USD,Tether USDt,0.998398,-0.06%,112.607B,39.54B,112.787B
BNB-USD,BNB,578.47,+0.22%,85.373B,1.532B,147.583M
SOL-USD,Solana,153.72,+5.07%,71.138B,1.975B,462.776M
STETH-USD,Lido Staked ETH,3414.25,-0.46%,33.173B,26.193M,9.716M
USDC-USD,USD Coin,0.999881,-0.01%,32.545B,4.104B,32.549B
XRP-USD,XRP,0.483969,+1.54%,26.951B,847.223M,55.688B
TON11419-USD,Toncoin,8.0167,+3.21%,19.724B,294.972M,2.46B
DOGE-USD,Dogecoin,0.124443,+0.75%,18.039B,408.14M,144.955B
ADA-USD,Cardano,0.418377,+3.79%,14.962B,262.449M,35.761B
WSTETH-USD,Lido wstETH,4002.17,-1.03%,13.722B,40.63M,3.429M
WETH-USD,WETH,3416.78,-1.01%,11.533B,729.991M,3.375M
TRX-USD,TRON,0.12906,+0.71%,11.252B,235.956M,87.186B
WTRX-USD,Wrapped TRON,0.128694,+0.23%,11.251B,746929,87.423B
AVAX-USD,Avalanche,28.51,-1.34%,11.24B,250.725M,394.185M
SHIB-USD,Shiba Inu,1.7e-05,+0.63%,10.124B,153.818M,589.271T
WBTC-USD,Wrapped Bitcoin,61965.29,-1.39%,9.497B,109.829M,153268
DOT-USD,Polkadot,6.5634,+3.01%,9.438B,245.504M,1.438B
LINK-USD,Chainlink,14.42,+0.38%,8.768B,270.485M,608.1M
BCH-USD,Bitcoin Cash,381.48,-0.64%,7.526B,185.021M,19.728M
NEAR-USD,NEAR Protocol,5.5533,+5.50%,6.075B,239.988M,1.094B
EETH-USD,ether.fi Staked ETH,3411.23,-0.28%,6.002B,154484,1.759M
LTC-USD,Litecoin,75.96,+2.18%,5.675B,224.412M,74.707M
MATIC-USD,Polygon,0.568688,+1.70%,5.621B,168.882M,9.884B
LEO-USD,UNUS SED LEO,5.7945,+0.17%,5.366B,908032,926.099M
UNI7083-USD,Uniswap,8.937,-2.44%,5.363B,135.452M,600.034M
DAI-USD,Dai,0.999835,-0.02%,5.347B,488.412M,5.348B
WEETH-USD,Wrapped eETH,3554.85,-0.58%,4.829B,51.33M,1.358M
PEPE24478-USD,Pepe,1.1e-05,-1.00%,4.736B,489.826M,420.69T
KAS-USD,Kaspa,0.178286,-0.75%,4.294B,75.798M,24.088B
ICP-USD,Internet Computer,7.8682,-2.50%,3.663B,50.913M,465.604M
USDE29470-USD,Ethena USDe,0.998463,-0.03%,3.604B,89.433M,3.61B
BTCB-USD,Bitcoin BEP2,61970.76,-1.46%,3.545B,12.947M,57199
ETC-USD,Ethereum Classic,23.24,+0.12%,3.433B,93.008M,147.76M
FET-USD,Artificial Superintelligence Alliance,1.3254,+1.54%,3.34B,117.836M,2.52B
WBETH-USD,Wrapped Beacon ETH,3560.08,-0.54%,3.195B,5.034M,897538
APT21794-USD,Aptos,6.9466,-1.50%,3.149B,85.457M,453.27M
XMR-USD,Monero,168.1,-0.04%,3.101B,41.452M,18.447M
RNDR-USD,Render,7.6338,+1.19%,2.967B,105.974M,388.65M
HBAR-USD,Hedera,0.078246,+2.47%,2.798B,44.618M,35.761B
EZETH-USD,Renzo Restaked ETH,3454.48,-0.32%,2.789B,107.195M,807498
XLM-USD,Stellar,0.093424,+2.18%,2.725B,46.729M,29.167B
ATOM-USD,Cosmos,6.8009,+0.38%,2.659B,104.347M,390.931M
OKB-USD,OKB,42.69,+0.94%,2.561B,2.601M,60M
MNT27075-USD,Mantle,0.779548,-0.87%,2.547B,141.976M,3.267B
ARB11841-USD,Arbitrum,0.777708,-0.34%,2.513B,130.687M,3.232B
FIL-USD,Filecoin,4.4152,+1.82%,2.504B,86.982M,567.22M
STX4847-USD,Stacks,1.6681,-2.25%,2.451B,49.042M,1.47B
CRO-USD,Cronos,0.090427,-1.17%,2.403B,7.39M,26.572B
IMX10603-USD,Immutable,1.5933,+0.83%,2.403B,55.484M,1.508B
MKR-USD,Maker,2547.5,-0.92%,2.369B,48.61M,929984
WIF-USD,dogwifhat,2.1965,-2.91%,2.194B,301.069M,998.846M
INJ-USD,Injective,23.06,+1.97%,2.154B,70.326M,93.4M
VET-USD,VeChain,0.026395,-1.36%,2.138B,30.205M,80.985B
SUI20947-USD,Sui,0.821828,+1.75%,2.065B,92.593M,2.512B
GRT6719-USD,The Graph,0.211942,+1.92%,2.024B,44.074M,9.549B
FDUSD-USD,First Digital USD,0.999455,+0.01%,2.008B,3.168B,2.009B
OP-USD,Optimism,1.7619,+0.68%,1.976B,137.119M,1.122B
RETH-USD,Rocket Pool ETH,3794.73,-0.60%,1.923B,7.146M,506704
AR-USD,Arweave,28.61,+1.17%,1.878B,36.922M,65.652M
JITOSOL-USD,Jito Staked SOL,172.2,+5.04%,1.79B,29.172M,10.397M
BONK-USD,Bonk,2.5e-05,-0.05%,1.735B,344.269M,68.571T
FLOKI-USD,FLOKI,0.00018,+4.99%,1.717B,299.919M,9.565T
LDO-USD,Lido DAO,1.9005,-5.31%,1.697B,132.964M,892.892M
SUSDE-USD,Ethena Staked USDe,1.0815,+0.08%,1.681B,20.372M,1.554B
TAO22974-USD,Bittensor,238.57,-14.03%,1.674B,69.889M,7.015M
BGB-USD,Bitget Token,1.1872,-1.13%,1.662B,57.712M,1.4B
FTM-USD,Fantom,0.587494,+1.34%,1.647B,69.626M,2.804B
METH29035-USD,Mantle Staked Ether,3548.12,-0.64%,1.637B,10.336M,461446
ONDO-USD,Ondo,1.1642,-2.37%,1.618B,130.511M,1.39B
THETA-USD,Theta Network,1.5551,-1.43%,1.555B,13.902M,1B
BRETT29743-USD,Brett (Based),0.15577,-4.67%,1.544B,37.769M,9.91B
ZBU-USD,Zeebu,4.5879,-0.35%,1.513B,29.526M,329.708M
RUNE-USD,THORChain,4.2398,+2.77%,1.426B,187.7M,336.293M
NOT-USD,Notcoin,0.013414,-3.00%,1.375B,205.071M,102.491B
JASMY-USD,JasmyCoin,0.027636,-1.55%,1.362B,60.535M,49.3B
AAVE-USD,Aave,90.96,-8.03%,1.352B,108.506M,14.868M
FLZ-USD,Fellaz,2.7737,+7.31%,1.309B,7.246M,471.875M
ALGO-USD,Algorand,0.149218,+2.02%,1.221B,26.907M,8.182B
PYTH-USD,Pyth Network,0.333113,+3.87%,1.208B,48.65M,3.625B
JUP29210-USD,Jupiter,0.877557,+3.93%,1.185B,100.161M,1.35B
CORE23254-USD,Core,1.3127,-0.76%,1.176B,45.141M,896.08M
TIA22861-USD,Celestia,5.8179,+0.43%,1.133B,49.167M,194.742M
CHEEL-USD,Cheelee,20.62,+0.48%,1.11B,6.655M,53.838M
SEI-USD,Sei,0.3372,+1.05%,1.028B,54.526M,3.05B
RSETH-USD,Kelp DAO Restaked ETH,3452.21,-1.22%,1.016B,8.605M,294404
FLR-USD,Flare,0.023521,-1.50%,1.008B,8.434M,42.855B
ENS-USD,Ethereum Name Service,30.94,-2.21%,978.947M,151.678M,31.637M
QNT-USD,Quant,80.53,+1.11%,972.183M,11.204M,12.073M
KCS-USD,KuCoin Token,9.9699,+0.04%,952.526M,744133,95.54M
FLOW-USD,Flow,0.622933,+0.79%,941.738M,25.036M,1.512B
AKT-USD,Akash Network,3.7534,+2.59%,910.934M,55.634M,242.695M
STRK22691-USD,Starknet,0.629689,-3.11%,919.434M,53.349M,1.46B
WBNB-USD,Wrapped BNB,578.19,-0.11%,915.188M,85.698M,1.583M
BEAM28298-USD,Beam,0.018293,+8.25%,904.863M,44.259M,49.466B
AXS-USD,Axie Infinity,5.9601,+0.95%,878.997M,26.319M,147.481M
GALA-USD,Gala,0.027377,+1.60%,877.898M,78.452M,32.067B
BSV-USD,Bitcoin SV,44.48,+0.57%,877.332M,26.351M,19.723M
EOS-USD,EOS,0.58348,+1.42%,874.766M,62.233M,1.499B
EGLD-USD,MultiversX,32.04,+3.66%,869.56M,44.25M,27.136M
VBNB-USD,Venus BNB,14.1,+0.25%,868.393M,868.479M,61.571M
BTT-USD,BitTorrent(New),8.6e-07,-0.72%,837.448M,15.402M,968.246T
MSOL-USD,Marinade Staked SOL,184.21,+5.06%,837.158M,4.031M,4.545M
NEO-USD,Neo,11.5,+0.92%,811.134M,22.34M,70.539M
ORDI-USD,ORDI,38.33,+1.75%,804.863M,84.846M,21M
DYDX-USD,dYdX (Native),1.3544,+1.78%,803.876M,15.91M,593.526M
XTZ-USD,Tezos,0.800104,+1.76%,790.18M,15.988M,987.596M
ENA-USD,Ethena,0.496171,-1.48%,754.335M,50.93M,1.52B
SAND-USD,The Sandbox,0.328854,+0.33%,750.192M,51.655M,2.281B
GNO-USD,Gnosis,284.42,-1.01%,736.519M,9.347M,2.59M
USDD-USD,USDD,0.999551,-0.03%,736.566M,3.912M,736.896M
